"","term","gene"
"513","Astrocytes%ENCODE%2.txt42","FSD1"
"514","Astrocytes%ENCODE%2.txt43","ACSS3"
"515","Astrocytes%ENCODE%2.txt44","ATF7IP2"
"516","Astrocytes%ENCODE%2.txt45","TRIM45"
"517","Astrocytes%ENCODE%2.txt46","MXD3"
"518","Astrocytes%ENCODE%2.txt47","GINS4"
"519","Astrocytes%ENCODE%2.txt48","PSRC1"
"520","Astrocytes%ENCODE%2.txt49","CBX2"
"521","Astrocytes%ENCODE%2.txt50","H2AFV"
"522","Astrocytes%ENCODE%2.txt51","OLFML2A"
"523","Astrocytes%ENCODE%3.txt1","CNN1"
"524","Astrocytes%ENCODE%3.txt2","COL11A1"
"525","Astrocytes%ENCODE%3.txt3","FABP7"
"526","Astrocytes%ENCODE%3.txt4","FZD2"
"527","Astrocytes%ENCODE%3.txt5","GNG3"
"528","Astrocytes%ENCODE%3.txt6","TNC"
"529","Astrocytes%ENCODE%3.txt7","LRP4"
"530","Astrocytes%ENCODE%3.txt8","POU3F3"
